"exp","sample","dpi","synID","comID","syncom","strain","taxa","channel","cfu","cfu_log"
"e1","1","14dpi","C","Com07","C.07","mr01","Methylobacterium","C0",55600000,7.74507479158206
"e1","2","14dpi","C","Com07","C.07","mr01","Methylobacterium","C0",38700000,7.58771096501891
"e1","3","14dpi","C","Com07","C.07","mr01","Methylobacterium","C0",14200000,7.15228834438306
"e1","4","14dpi","C","Com07","C.07","mr01","Methylobacterium","C0",17700000,7.24797326636181
"e1","1","14dpi","C","Com07","C.07","mr01","Methylobacterium","C1",39100000,7.59217675739587
"e1","2","14dpi","C","Com07","C.07","mr01","Methylobacterium","C1",25200000,7.40140054078154
"e1","3","14dpi","C","Com07","C.07","mr01","Methylobacterium","C1",12200000,7.08635983067475
"e1","4","14dpi","C","Com07","C.07","mr01","Methylobacterium","C1",16300000,7.21218760440396
"e1","1","07dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",30600000,7.48572142648158
"e1","2","07dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",65600000,7.81690383937566
"e1","3","07dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",60200000,7.77959649125782
"e1","4","07dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",67000000,7.82607480270083
"e2","1","07dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",59300000,7.77305469336426
"e2","2","07dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",48500000,7.68574173860226
"e2","3","07dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",138000000,8.13987908640124
"e2","4","07dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",56700000,7.75358305889291
"e1","1","14dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",61400000,7.78816837114117
"e1","2","14dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",67100000,7.82672252016899
"e1","3","14dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",37400000,7.57287160220048
"e1","4","14dpi","S2","Com09","S2.09","mr01","Methylobacterium","C0",43800000,7.6414741105041
"e1","1","07dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",33400000,7.52374646681156
"e1","2","07dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",2e+07,7.30102999566398
"e1","3","07dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",10400000,7.01703333929878
"e1","4","07dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",14600000,7.16435285578444
"e2","1","07dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",12700000,7.10380372095596
"e2","2","07dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",13000000,7.11394335230684
"e2","3","07dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",22300000,7.34830486304816
"e2","4","07dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",48100000,7.68214507637383
"e1","1","14dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",2.06e+09,9.31386722036915
"e1","2","14dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",1.6e+08,8.20411998265593
"e1","3","14dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",1.6e+08,8.20411998265593
"e1","4","14dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",90200000,7.95520653754194
"e2","1","14dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",128000000,8.10720996964787
"e2","2","14dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",97900000,7.99078269180314
"e2","3","14dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",238000000,8.37657695705651
"e2","4","14dpi","S2","Com14","S2.14","mr01","Methylobacterium","C0",91700000,7.96236933567002
"e1","1","07dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C0",21500000,7.3324384599156
"e1","2","07dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C0",8360000,6.92220627743902
"e1","3","07dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C0",60500000,7.78175537465247
"e1","4","07dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C0",43600000,7.63948648926859
"e2","1","07dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C1",289000000,8.46089784275655
"e2","2","07dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C1",49000000,7.69019608002851
"e2","3","07dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C1",119000000,8.07554696139253
"e2","4","07dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C1",283000000,8.45178643552429
"e1","1","14dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C0",20500000,7.31175386105575
"e1","2","14dpi","S2","Com06","S2.06","smfr1","Sphingomonas","C0",3710000,6.56937390961505
