exp,sample,dpi,synID,comID,syncom,strain,taxa,channel,cfu
e2,3,07dpi,C,Com07,C.07,mr01,Methylobacterium,C1,1.66E+07
e2,4,07dpi,C,Com07,C.07,mr01,Methylobacterium,C1,4.04E+07
e1,1,14dpi,C,Com07,C.07,mr01,Methylobacterium,C0,5.56E+07
e1,2,14dpi,C,Com07,C.07,mr01,Methylobacterium,C0,3.87E+07
e1,3,14dpi,C,Com07,C.07,mr01,Methylobacterium,C0,1.42E+07
e1,4,14dpi,C,Com07,C.07,mr01,Methylobacterium,C0,1.77E+07
e1,1,14dpi,C,Com07,C.07,mr01,Methylobacterium,C1,3.91E+07
e1,2,14dpi,C,Com07,C.07,mr01,Methylobacterium,C1,2.52E+07
e1,3,14dpi,C,Com07,C.07,mr01,Methylobacterium,C1,1.22E+07
e1,4,14dpi,C,Com07,C.07,mr01,Methylobacterium,C1,1.63E+07
e1,1,07dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,3.06E+07
e1,2,07dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,6.56E+07
e1,3,07dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,6.02E+07
e1,4,07dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,6.70E+07
e2,1,07dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,5.93E+07
e2,2,07dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,4.85E+07
e2,3,07dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,1.38E+08
e2,4,07dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,5.67E+07
e1,1,14dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,6.14E+07
e1,2,14dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,6.71E+07
e1,3,14dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,3.74E+07
e1,4,14dpi,S2,Com09,S2.09,mr01,Methylobacterium,C0,4.38E+07
e1,1,07dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,3.34E+07
e1,2,07dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,2.00E+07
e1,3,07dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,1.04E+07
e1,4,07dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,1.46E+07
e2,1,07dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,1.27E+07
e2,2,07dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,1.30E+07
e2,3,07dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,2.23E+07
e2,4,07dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,4.81E+07
e1,1,14dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,2.06E+09
e1,2,14dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,1.60E+08
e1,3,14dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,1.60E+08
e1,4,14dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,9.02E+07
e2,1,14dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,1.28E+08
e2,2,14dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,9.79E+07
e2,3,14dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,2.38E+08
e2,4,14dpi,S2,Com14,S2.14,mr01,Methylobacterium,C0,9.17E+07
e1,1,07dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C0,2.15E+07
e1,2,07dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C0,8.36E+06
e1,3,07dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C0,6.05E+07
e1,4,07dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C0,4.36E+07
e2,1,07dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C1,2.89E+08
e2,2,07dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C1,4.90E+07
e2,3,07dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C1,1.19E+08
e2,4,07dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C1,2.83E+08
e1,1,14dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C0,2.05E+07
e1,2,14dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C0,3.71E+06
e1,3,14dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C0,4.06E+06
e1,4,14dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C0,2.53E+07
e2,1,14dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C1,4.90E+08
e2,2,14dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C1,3.29E+08
e2,3,14dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C1,2.10E+08
e2,4,14dpi,S2,Com06,S2.06,smfr1,Sphingomonas,C1,9.02E+07
e1,1,07dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,1.05E+08
e1,2,07dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,8.68E+07
e1,3,07dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,4.86E+07
e1,4,07dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,4.72E+07
e2,1,07dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,5.24E+07
e2,2,07dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,7.62E+07
e2,3,07dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,1.04E+08
e2,4,07dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,8.97E+07
e1,1,14dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,1.07E+08
e1,2,14dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,1.21E+08
e1,3,14dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,3.10E+07
e1,4,14dpi,S2,Com08,S2.08,smfr1,Sphingomonas,C1,5.92E+07
e1,1,07dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,2.81E+07
e1,2,07dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,3.06E+07
e1,3,07dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,4.33E+07
e1,4,07dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,4.76E+07
e2,1,07dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,4.94E+07
e2,2,07dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,4.39E+07
e2,3,07dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,4.07E+07
e2,4,07dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,5.07E+07
e1,1,14dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,9.39E+07
e1,2,14dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,1.42E+08
e1,3,14dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,1.87E+08
e1,4,14dpi,S2,Com09,S2.09,smfr1,Sphingomonas,C1,2.67E+07
e1,1,07dpi,C,Com10,C.10,smfr1,Sphingomonas,C0,4.13E+07
e1,2,07dpi,C,Com10,C.10,smfr1,Sphingomonas,C0,5.41E+07
e1,3,07dpi,C,Com10,C.10,smfr1,Sphingomonas,C0,2.38E+07
e1,4,07dpi,C,Com10,C.10,smfr1,Sphingomonas,C0,4.18E+07
e2,1,07dpi,C,Com10,C.10,smfr1,Sphingomonas,C0,1.20E+06
e2,2,07dpi,C,Com10,C.10,smfr1,Sphingomonas,C0,1.80E+06
e2,3,07dpi,C,Com10,C.10,smfr1,Sphingomonas,C0,2.40E+06
e2,4,07dpi,C,Com10,C.10,smfr1,Sphingomonas,C0,3.20E+06
